ias_kt,palt_ft,oat_c,pitch_deg,roll_deg,flight_path_deg,derived_aoa_deg,tas_mps,kalman_alt_ft,kalman_vsi_fpm,earth_vert_g,tone_freq_hz,tone_level
5.4000,5242.1201,0.0000,-1.5457,-0.2415,0.0000,-1.5465,3.0692,5242.1201,0.0000,0.0118,0.0000,0
6.5000,5249.9102,0.0000,-1.1450,-0.1699,0.0000,-1.2402,3.0692,5245.9199,0.0000,0.0193,0.0000,0
6.9800,5249.9102,0.0000,-0.9835,-0.1716,0.0000,-1.1748,3.0692,5247.2285,0.0000,0.0288,0.0000,0
5.4000,5249.9102,0.0000,-0.9168,-0.1523,0.0000,-1.2047,3.0692,5247.8911,0.0000,0.0107,0.0000,0
10.0300,5253.8101,0.0000,-0.9829,-0.1338,0.0000,-1.2793,5.7021,5249.0640,0.0000,-0.0644,0.0000,0
10.9600,5249.9102,0.0000,-1.0364,-0.1719,0.0000,-1.3610,5.7021,5249.2041,0.0000,0.0460,0.0000,0
7.8500,5242.1201,0.0000,-1.1034,-0.1875,0.0000,-1.1780,5.7021,5248.1982,0.0000,-0.0195,0.0000,0
9.0100,5249.9102,0.0000,-1.1477,-0.1888,0.0000,-1.2962,5.7021,5248.4116,0.0000,0.0199,0.0000,0
10.6600,5249.9102,0.0000,-1.2291,-0.1452,0.0000,-1.4359,6.0598,5248.5776,0.0000,-0.0475,0.0000,0
10.6600,5242.1201,0.0000,-1.2925,-0.1190,0.0000,-1.1765,6.0598,5247.9331,0.0000,-0.0080,0.0000,0
7.8500,5242.1201,0.0000,-1.3595,-0.1258,0.0000,-0.9221,6.0598,5247.4043,0.0000,0.0159,0.0000,0
9.3600,5234.3301,0.0000,-1.4358,-0.1093,0.0000,-0.2009,6.0598,5246.3115,0.0000,-0.0291,0.0000,0
6.5000,5249.9102,0.0000,-1.5034,-0.0891,0.0000,0.1306,3.6950,5246.5879,0.0000,-0.0115,0.0000,0
10.9600,5249.9102,0.0000,-1.5724,-0.0767,0.0000,-0.3281,3.6950,5246.8252,0.0000,-0.0236,0.0000,0
38.3400,5273.2998,0.0000,-1.4170,-0.0797,-1.2443,-0.1727,3.6950,5273.2998,-15.7951,0.0682,0.0000,0
99.3400,5437.4600,0.0000,-1.4724,-0.0200,0.3565,-1.8289,3.6950,5353.3721,4.5255,0.0514,0.0000,0
95.7100,5998.6299,0.0000,-3.1263,-0.0308,0.8320,-3.9583,55.1446,5564.9346,157.6219,-0.4440,0.0000,0
102.9000,6258.7500,0.0000,-5.0303,0.0036,2.1207,-7.1510,55.1446,5736.2808,401.6902,0.0105,0.0000,0
95.3400,6274.8301,0.0000,-7.2048,-0.0200,3.4476,-10.6524,55.1446,5842.9883,652.7920,-0.0837,0.0000,0
79.6100,6246.7002,0.0000,-9.6458,-0.0123,4.6884,-14.3342,55.1446,5909.8076,887.2606,-0.0719,0.0000,0
69.5600,5756.3901,0.0000,-11.1889,-0.0735,5.6983,-16.8872,39.9045,5888.0811,779.9486,-0.1167,0.0000,0
66.8000,5320.1201,0.0000,-12.8753,-0.0883,2.3257,-15.2010,39.9045,5817.4517,318.7613,-0.0184,0.0000,0
82.2200,5292.7998,0.0000,-14.6869,-0.1430,-1.2209,-13.4660,39.9045,5759.3457,-167.3786,-0.1709,0.0000,0
89.4700,5784.0898,0.0000,-16.6260,-0.0833,-1.0334,-15.5926,39.9045,5761.8047,-141.6679,-0.1776,0.0000,0
106.5900,6110.4302,0.0000,-20.0287,-0.0944,1.2375,-21.2663,61.5358,5793.5073,261.6121,0.3571,0.0000,0
101.6000,6238.6699,0.0000,-23.4368,-0.0294,3.9143,-27.3511,61.5358,5830.7202,826.9060,-0.0245,0.0000,0
93.3400,6194.5298,0.0000,-26.8077,-0.0180,6.3069,-33.1146,61.5358,5858.9033,1330.6976,-0.2570,0.0000,0
72.4800,5795.9800,0.0000,-30.1460,-0.2806,5.8635,-36.0098,61.5358,5854.4751,1237.4739,-0.2480,0.0000,0
69.7500,5339.6499,0.0000,-31.4538,-0.4143,2.9978,-34.4524,39.7145,5819.8926,408.8574,-0.1685,0.0000,0
86.2200,5269.3901,0.0000,-32.7754,-0.2974,-3.9587,-28.8170,39.7145,5785.0513,-539.7231,0.0756,0.0000,0
91.7700,5815.7998,0.0000,-34.0112,-0.1263,-3.5372,-30.4741,39.7145,5786.8516,-482.3268,-0.2743,0.0000,0
111.9600,6138.4502,0.0000,-35.2434,-0.2013,1.4837,-36.7272,39.7145,5806.7637,202.4165,0.2740,0.0000,0
98.0600,6254.7402,0.0000,-37.6342,-0.2834,5.7849,-43.4195,56.7570,5830.9639,1126.1289,-0.1517,0.0000,0
75.8500,6150.4502,0.0000,-39.9762,-0.7180,9.3785,-49.3573,56.7570,5847.5156,1820.6316,-0.3928,0.0000,0
69.7500,5685.2500,0.0000,-42.3106,-1.3806,7.4688,-49.7888,56.7570,5839.6499,1452.2787,-0.3843,0.0000,0
59.9400,5253.8101,0.0000,-44.7018,-1.2947,0.2797,-44.9888,56.7570,5812.0122,54.5369,-0.3673,0.0000,0
98.8200,5367.0000,0.0000,-46.8237,-1.4378,-5.4705,-41.3614,56.2942,5791.7295,-1056.4320,-0.0304,0.0000,0
105.3600,5831.6499,0.0000,-48.5536,-2.5919,-4.9280,-43.6525,56.2942,5793.4067,-951.9401,-0.1102,0.0000,0
107.9200,6234.6602,0.0000,-50.2292,-2.8196,1.2609,-51.5248,56.2942,5812.1045,243.8520,-0.3144,0.0000,0
86.2200,6254.7402,0.0000,-51.7439,-3.2608,7.7295,-59.5236,56.2942,5830.3696,1490.4299,-0.4862,0.0000,0
73.3300,5831.6499,0.0000,-52.0932,-3.9631,10.3755,-62.5450,42.1241,5830.5381,1493.4022,-0.5160,0.0000,0
72.2100,5374.8198,0.0000,-52.6749,-4.2414,0.7996,-53.5514,42.1241,5812.9155,115.7147,-0.4939,0.0000,0
83.3100,5269.3901,0.0000,-53.2689,-4.3854,-10.9944,-42.3438,42.1241,5792.3091,-1581.4135,-0.2781,0.0000,0
93.7600,5795.9800,0.0000,-53.5224,-4.7286,-10.8991,-42.7039,42.1241,5792.3267,-1567.8696,-0.7275,0.0000,0
107.7700,6166.4800,0.0000,-54.7096,-6.2020,-1.5008,-53.3649,62.2792,5805.7578,-321.0923,-0.8001,0.0000,0
104.7200,6246.7002,0.0000,-56.1457,-7.1502,5.5597,-61.9273,62.2792,5821.3701,1187.7450,-0.3287,0.0000,0
88.7800,6178.4902,0.0000,-57.4080,-8.4340,11.5005,-69.2308,62.2792,5833.8838,2444.2917,-0.6383,0.0000,0
70.3900,5815.7998,0.0000,-58.4740,-10.9035,11.2039,-70.2028,62.2792,5833.4624,2382.0696,-0.6674,0.0000,0
68.7600,5339.6499,0.0000,-58.3849,-11.4353,4.1477,-63.0718,39.1508,5817.0732,557.4125,-0.6708,0.0000,0
85.0900,5308.3999,0.0000,-58.4759,-11.8910,-10.2259,-48.7474,39.1508,5800.3076,-1368.1901,-0.1844,0.0000,0
95.5100,5803.8999,0.0000,-58.1512,-12.0977,-10.1128,-48.5563,39.1508,5800.3228,-1353.2175,-0.4177,0.0000,0
97.4900,6367.4102,0.0000,-57.3129,-12.4436,6.6537,-64.6364,39.1508,5818.4541,892.9750,-0.9559,0.0000,0
105.6100,6846.5898,0.0000,-57.8059,-13.3018,24.5264,-83.2430,61.7700,5851.1816,5047.5259,0.0476,0.0000,0
104.5300,7270.7002,0.0000,-57.5971,-14.4370,63.6649,-123.1966,61.7700,5896.1621,10897.4541,-0.6125,0.0000,0
99.6000,7221.0098,0.0000,-57.2243,-15.5947,90.0000,-148.1947,61.7700,5938.2002,16460.4785,-0.7117,0.0000,0
99.3400,6994.2002,0.0000,-56.7812,-17.0125,90.0000,-147.9454,61.7700,5972.0088,20973.9609,-0.5841,0.0000,0
99.4400,6436.0098,0.0000,-56.3317,-18.2472,90.0000,-147.6816,57.7412,5987.8149,22990.2559,-0.6432,0.0000,0
91.8700,6130.4399,0.0000,-56.0716,-19.5835,90.0000,-147.6344,57.7412,5993.9297,23618.9141,-0.4110,0.0000,0
96.2900,6070.4600,0.0000,-55.5384,-20.9095,90.0000,-147.3361,57.7412,5998.0757,23961.1797,-0.3345,0.0000,0
85.3200,5942.8799,0.0000,-54.8009,-22.0567,90.0000,-146.8245,57.7412,5998.2954,23710.2480,-0.6023,0.0000,0
71.6700,5531.6299,0.0000,-54.0880,-22.5228,90.0000,-146.2190,40.9492,5986.2627,21554.4902,-0.6069,0.0000,0
61.3300,5071.1802,0.0000,-53.8241,-23.1361,90.0000,-146.0818,40.9492,5960.8599,17276.0410,-0.5471,0.0000,0
101.4700,5183.7500,0.0000,-53.2223,-23.4203,90.0000,-145.5535,40.9492,5939.3101,13600.7295,-0.5022,0.0000,0
103.7200,5784.0898,0.0000,-52.1166,-23.2399,90.0000,-144.4395,40.9492,5935.8174,12859.3896,-0.6491,0.0000,0
113.3500,6110.4302,0.0000,-51.2472,-22.8740,90.0000,-143.5154,65.4385,5941.9370,13711.9434,-0.7480,0.0000,0
99.6300,6042.5098,0.0000,-50.7878,-22.5371,90.0000,-142.9975,65.4385,5945.9463,14209.6807,-0.5509,0.0000,0
77.3800,5784.0898,0.0000,-50.2609,-22.5927,90.0000,-142.4913,65.4385,5942.3496,13418.5195,-0.5781,0.0000,0
78.9500,5242.1201,0.0000,-50.0495,-22.7849,50.5278,-105.6038,65.4385,5923.0713,9943.7070,-0.5442,0.0000,0
88.7100,5078.9302,0.0000,-49.9704,-23.0584,35.2604,-89.2763,50.2720,5899.3848,5712.9155,-0.0961,0.0000,0
90.2300,5704.9902,0.0000,-49.5937,-22.3970,28.5847,-81.7203,50.2720,5894.2095,4734.8389,-0.1204,0.0000,0
106.2500,6110.4302,0.0000,-48.7930,-21.2454,36.1756,-88.5881,50.2720,5900.8335,5841.2554,-0.2233,0.0000,0
100.1900,6138.4502,0.0000,-48.6409,-20.3706,45.5137,-98.0471,50.2720,5908.1533,7060.0205,-0.3256,0.0000,0
99.7000,6070.4600,0.0000,-48.6703,-19.6392,44.2448,-96.4767,57.5171,5913.3911,7899.8291,-0.3867,0.0000,0
75.0800,5922.9902,0.0000,-48.5163,-19.1943,44.6368,-96.6080,57.5171,5914.2881,7955.1284,-0.3482,0.0000,0
78.7500,5406.1299,0.0000,-48.5219,-19.2867,28.0235,-79.2868,57.5171,5900.2646,5319.5713,-0.5364,0.0000,0
48.9700,5067.2998,0.0000,-48.7490,-19.6669,4.9549,-55.8447,57.5171,5876.6802,977.9126,-0.4309,0.0000,0
12.6100,5067.2998,0.0000,-48.4440,-20.2102,0.0000,39.7567,7.1446,5853.4365,0.0000,-0.3922,20.0000,2
17.3700,5078.9302,0.0000,-48.1321,-20.7348,0.0000,39.9694,7.1446,5830.8682,0.0000,-0.3733,20.0000,2
15.8100,5078.9302,0.0000,-47.8329,-21.2326,0.0000,40.1716,7.1446,5808.6328,0.0000,-0.4005,20.0000,2
17.9200,5071.1802,0.0000,-47.5429,-21.7249,0.0000,40.3635,7.1446,5786.5039,0.0000,-0.3711,20.0000,2
17.3700,5094.4399,0.0000,-47.2536,-22.1598,0.0000,40.5636,9.8464,5765.3765,0.0000,-0.3200,20.0000,2
13.3600,5098.3101,0.0000,-46.9597,-22.5676,0.0000,40.7720,9.8464,5744.6812,0.0000,-0.3918,20.0000,2
14.3000,5106.0698,0.0000,-46.6683,-22.9328,0.0000,40.9852,9.8464,5724.5269,0.0000,-0.3593,20.0000,2
24.7700,5129.3501,0.0000,-46.2688,-22.4177,-90.0000,41.4885,9.8464,5129.2515,-25780.5625,-0.1322,20.0000,2
94.1400,5261.6001,0.0000,-45.9314,-21.9103,-90.0000,41.9265,53.5261,5192.7495,-25775.2422,-0.4116,20.0000,2
94.9600,5835.6201,0.0000,-45.5809,-21.4203,-90.0000,42.3723,53.5261,5402.1406,-25633.1992,0.3215,20.0000,2
109.5300,6186.5200,0.0000,-45.2860,-20.9023,-90.0000,42.7660,53.5261,5594.2944,-25367.3418,-0.4897,20.0000,2
103.3700,6118.4302,0.0000,-45.0188,-20.4314,-90.0000,43.1212,53.5261,5696.4902,-25132.6621,-0.5074,20.0000,2
80.2600,6106.4302,0.0000,-44.7308,-19.9934,-90.0000,43.4891,46.3319,5762.6152,-24903.9863,-0.4188,20.0000,2
80.2600,5685.2500,0.0000,-44.4657,-19.5748,-90.0000,43.8292,46.3319,5749.9160,-24967.2129,-0.4252,20.0000,2
76.7500,5195.4102,0.0000,-44.2277,-19.1709,-90.0000,44.1381,46.3319,5679.1548,-25425.9551,-0.4883,20.0000,2
89.3300,5094.4399,0.0000,-44.0101,-18.8252,-90.0000,44.4152,46.3319,5612.5586,-25976.5078,-0.1523,20.0000,2
96.8300,5602.4399,0.0000,-43.8793,-18.4342,-90.0000,44.6119,55.3952,5609.6743,-25995.4082,-0.6478,20.0000,2
105.1500,6158.4600,0.0000,-43.7596,-18.1027,-90.0000,44.7865,55.3952,5657.7002,-25370.2910,-0.4744,20.0000,2
109.2900,6266.7900,0.0000,-43.6460,-17.7712,-90.0000,44.9538,55.3952,5706.7271,-24605.6582,-0.0728,20.0000,2
97.4300,6098.4302,0.0000,-43.5489,-17.4289,-90.0000,45.1054,55.3952,5735.1855,-24071.8320,-0.0171,20.0000,2
81.7400,6002.6201,0.0000,-43.3498,-17.1148,-90.0000,45.3535,47.0989,5752.6401,-23679.3457,-0.3455,20.0000,2
75.7200,5657.6299,0.0000,-43.1881,-16.8171,-90.0000,45.5610,47.0989,5744.4707,-23839.6113,-0.4856,20.0000,2
67.0900,5230.4399,0.0000,-43.0688,-16.5690,-90.0000,45.7177,47.0989,5710.1191,-24732.2617,-0.3457,20.0000,2
79.0800,5098.3101,0.0000,-42.9701,-16.3001,-90.0000,45.8562,47.0989,5671.6494,-25861.3281,-0.4289,20.0000,2
93.1400,5578.8198,0.0000,-42.9436,-16.0099,-90.0000,45.9247,53.2615,5664.4287,-26047.8008,-0.7504,20.0000,2
106.2200,6042.5098,0.0000,-42.8963,-15.7980,-90.0000,46.0023,53.2615,5682.8647,-25275.5820,-0.0316,20.0000,2
103.2200,6186.5200,0.0000,-42.8485,-15.4991,-90.0000,46.0921,53.2615,5706.8999,-24188.9590,-0.2330,20.0000,2
101.4400,6090.4399,0.0000,-42.8195,-15.2325,-90.0000,46.1577,53.2615,5723.9810,-23320.3613,-0.3816,20.0000,2
82.9600,5811.8301,0.0000,-42.7007,-15.0367,-90.0000,46.3032,47.6390,5726.3623,-23116.1758,-0.2377,20.0000,2
83.1600,5347.4600,0.0000,-42.6544,-14.8310,-90.0000,46.3770,47.6390,5707.3198,-24067.2773,-0.4782,20.0000,2
57.3900,5094.4399,0.0000,-42.6540,-14.6883,-90.0000,46.3962,47.6390,5678.5176,-25668.0254,-0.4575,20.0000,2
100.7700,5433.5400,0.0000,-42.6232,-14.5519,-90.0000,46.4448,47.6390,5666.1284,-26336.9727,-0.4272,20.0000,2
108.4000,5895.1602,0.0000,-42.8339,-14.4457,-90.0000,46.2474,62.3407,5673.5454,-25696.0566,-0.1582,20.0000,2
108.2500,6170.4800,0.0000,-43.0355,-14.2640,-90.0000,46.0687,62.3407,5691.4556,-24249.9824,-0.3040,20.0000,2
98.3500,6138.4502,0.0000,-43.2419,-14.0222,-90.0000,45.8924,62.3407,5706.9888,-22903.3633,-0.2916,20.0000,2
83.7400,5831.6499,0.0000,-43.4992,-13.8692,-90.0000,45.6538,62.3407,5709.9536,-22517.1602,-0.4054,20.0000,2
77.7500,5347.4600,0.0000,-43.3892,-13.7300,-90.0000,45.7811,44.2758,5694.7939,-23689.7734,-0.4672,20.0000,2
58.7900,5086.6802,0.0000,-43.3413,-13.6787,-90.0000,45.8352,44.2758,5670.9482,-25713.7266,-0.0705,20.0000,2
101.1200,5413.9502,0.0000,-43.2164,-13.5678,-90.0000,45.9737,44.2758,5659.8496,-26595.8301,-0.1136,20.0000,2
108.8800,5950.8398,0.0000,-42.9770,-13.4578,-90.0000,46.2267,44.2758,5667.9087,-25578.7773,0.0694,20.0000,2
102.3600,6118.4302,0.0000,-43.0994,-13.2515,-90.0000,46.1286,59.1022,5681.3110,-23958.2031,-0.3147,20.0000,2
97.9600,6050.4902,0.0000,-43.2182,-13.0799,-90.0000,46.0297,59.1022,5691.8506,-22596.0977,-0.4140,20.0000,2
84.5900,5764.2998,0.0000,-43.4083,-12.9710,-90.0000,45.8519,59.1022,5692.4966,-22323.2031,-0.3339,20.0000,2
75.5100,5327.9199,0.0000,-43.7423,-12.8897,-90.0000,45.5270,59.1022,5678.8921,-23735.3887,-0.4087,20.0000,2
55.7900,5094.4399,0.0000,-43.3205,-12.8483,-90.0000,45.9538,31.6251,5658.2612,-26051.7656,0.0590,20.0000,2
104.2800,5355.2798,0.0000,-42.8113,-12.7842,-90.0000,46.4710,31.6251,5646.6157,-27279.9551,0.3106,20.0000,2
104.4700,5962.7798,0.0000,-42.1162,-12.6104,-90.0000,47.1870,31.6251,5654.4268,-25981.3359,-0.6262,20.0000,2
106.6200,6150.4502,0.0000,-41.3716,-12.3608,-90.0000,47.9610,31.6251,5667.8271,-23903.4258,-0.5205,20.0000,2
100.3800,6150.4502,0.0000,-41.5182,-12.2075,-90.0000,47.8306,57.9921,5680.8350,-21842.7012,-0.3163,20.0000,2
78.5800,5938.8999,0.0000,-41.6951,-12.0931,-90.0000,47.6655,57.9921,5687.0220,-20720.9375,-0.2596,20.0000,2
79.5300,5476.6699,0.0000,-42.0332,-12.0544,-90.0000,47.3308,57.9921,5679.0415,-21648.6250,-0.4012,20.0000,2
61.7000,5067.2998,0.0000,-42.5349,-12.0364,-90.0000,46.8301,57.9921,5658.9531,-24389.7930,-0.3488,20.0000,2
105.6400,5168.1899,0.0000,-43.0013,-11.9151,-90.0000,46.3758,59.9633,5642.3848,-26618.8516,-0.0872,20.0000,2
95.1300,5903.1201,0.0000,-43.2642,-11.8544,-90.0000,46.1190,59.9633,5648.0713,-25416.1602,0.3353,20.0000,2
105.2100,6198.5400,0.0000,-43.3474,-11.5329,-90.0000,46.0689,59.9633,5662.3906,-22842.4902,-0.5586,20.0000,2
104.7500,6110.4302,0.0000,-43.4709,-11.1732,-90.0000,45.9814,59.9633,5673.8208,-20721.4336,-0.5754,20.0000,2
76.5800,6038.5200,0.0000,-43.0937,-10.9505,-90.0000,46.3807,44.1540,5682.9141,-18978.7480,-0.5264,20.0000,2
72.6600,5665.5098,0.0000,-42.8656,-10.8023,-90.0000,46.6233,44.1540,5680.9297,-19063.8242,-0.3366,20.0000,2
67.3800,5195.4102,0.0000,-42.8338,-10.7842,-90.0000,46.6569,44.1540,5665.2866,-21434.9609,-0.3994,20.0000,2
82.2600,5106.0698,0.0000,-42.8151,-10.8316,-90.0000,46.6711,44.1540,5647.3521,-24190.2266,-0.4011,20.0000,2
109.2900,5464.8999,0.0000,-43.2578,-10.7376,-90.0000,46.2368,62.3687,5640.1807,-25091.8691,-0.4475,20.0000,2
99.8600,6130.4399,0.0000,-43.4036,-10.4246,-90.0000,46.1201,62.3687,5652.4438,-22628.8965,-0.4947,20.0000,2
106.2500,6194.5298,0.0000,-43.5945,-10.1684,-90.0000,45.9523,62.3687,5666.3745,-19887.8379,-0.4461,20.0000,2
97.8900,6118.4302,0.0000,-43.8028,-9.8843,-90.0000,45.7690,62.3687,5677.8989,-17585.1348,-0.4968,20.0000,2
81.9000,6066.4600,0.0000,-43.4845,-9.6307,-90.0000,46.1093,47.2449,5687.7505,-15597.4131,-0.4491,20.0000,2
76.2400,5677.3501,0.0000,-43.3473,-9.6304,-90.0000,46.2466,47.2449,5686.2388,-15651.2832,-0.4024,20.0000,2
66.9000,5230.4399,0.0000,-43.4299,-9.6410,-90.0000,46.1630,47.2449,5671.8804,-18009.3164,-0.4377,20.0000,2
75.3800,5078.9302,0.0000,-43.6169,-9.6676,-90.0000,45.9736,47.2449,5653.3882,-21092.4160,0.2617,20.0000,2
