timeStamp,Pfwd,PfwdSmoothed,P45,P45Smoothed,PStatic,Palt,IAS,AngleofAttack,flapsPos,DataMark,OAT,TAS,imuTemp,VerticalG,LateralG,ForwardG,RollRate,PitchRate,YawRate,Pitch,Roll,EarthVerticalG,FlightPath,VSI,Altitude,DerivedAOA,CoeffP
0,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
20,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
40,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
60,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
80,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
100,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
120,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
140,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
160,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
180,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
